Well,Network,Cluster,β₃ (mth⁻¹),EWI (m bg),SE (mm),MSL5 obs,MSL5 recon,Resid. (mm),Status
NW4B,Reference,C2 (Dune),0.0593,-0.472,569,-0.211,-0.201,10,Calibration
T41A,Reference,C2 (Dune),0.0940,-0.487,405,-0.174,-0.215,-41,Calibration
T41B,Reference,C2 (Dune),0.0649,-0.399,483,-0.159,-0.133,26,Calibration
T41C,Reference,C2 (Dune),0.0698,-0.436,412,-0.177,-0.167,9,Calibration
T41D,Reference,C2 (Dune),0.0669,-0.662,444,-0.375,-0.377,-3,Calibration
WMC1,Reference,C2 (Dune),0.0555,-0.599,548,-0.309,-0.319,-10,Calibration
CEH12,Extended,C2 (Dune),0.0849,-1.188,383,,-0.866,,Reconstructed
CEH22,Extended,C2 (Dune),0.0563,-0.707,237,-0.557,-0.420,137,Calibration
CEH35,Extended,C2 (Dune),0.0658,-0.800,389,-0.652,-0.506,147,Calibration
CEH37,Extended,C2 (Dune),0.0780,-0.542,349,-0.119,-0.266,-147,Calibration
CEH7,Extended,C2 (Dune),0.0478,-0.687,661,-0.266,-0.401,-135,Calibration
CEH8,Extended,C2 (Dune),0.0322,-0.772,510,-0.363,-0.480,-117,Calibration
PW,Extended,C2 (Dune),0.0702,-0.882,441,-0.609,-0.582,27,Calibration
CEH1,Reference,C3 (Western Residual),0.0653,-0.713,417,-0.277,-0.425,-148,Calibration
CEH18,Reference,C3 (Western Residual),0.0543,-1.008,531,-0.695,-0.699,-4,Calibration
CEH21,Reference,C3 (Western Residual),0.0414,-1.151,428,-0.923,-0.832,91,Calibration
CEH36,Reference,C3 (Western Residual),0.0454,-0.745,493,-0.485,-0.454,31,Calibration
CEH39,Reference,C3 (Western Residual),0.0307,-0.483,803,-0.253,-0.212,41,Calibration
CEH4,Reference,C3 (Western Residual),0.0667,-0.859,309,-0.605,-0.560,45,Calibration
CEH40,Reference,C3 (Western Residual),0.0345,-0.623,867,-0.382,-0.341,41,Calibration
CEH41,Reference,C3 (Western Residual),0.0344,-0.478,848,-0.231,-0.207,24,Calibration
CEH42,Reference,C3 (Western Residual),0.0506,-0.511,536,-0.201,-0.238,-36,Calibration
CEH9,Reference,C3 (Western Residual),0.0330,-0.712,736,-0.451,-0.424,26,Calibration
D25,Reference,C3 (Western Residual),0.0636,-0.644,422,-0.260,-0.361,-100,Calibration
NW1,Reference,C3 (Western Residual),0.1013,-1.637,306,-1.307,-1.283,23,Calibration
NW11,Reference,C3 (Western Residual),0.0747,-0.882,360,-0.521,-0.582,-60,Calibration
NW13,Reference,C3 (Western Residual),0.0868,-0.803,317,-0.481,-0.509,-28,Calibration
NW2,Reference,C3 (Western Residual),0.0789,-0.831,408,-0.486,-0.535,-49,Calibration
NW5,Reference,C3 (Western Residual),0.0498,-0.735,590,-0.407,-0.446,-38,Calibration
NW6,Reference,C3 (Western Residual),0.0517,-0.628,550,-0.301,-0.346,-44,Calibration
NW7,Reference,C3 (Western Residual),0.0409,-1.422,603,-1.030,-1.084,-54,Calibration
WMC2,Reference,C3 (Western Residual),0.0469,-0.623,544,-0.347,-0.342,5,Calibration
WMC3,Reference,C3 (Western Residual),0.0316,-1.350,776,-0.976,-1.016,-40,Calibration
WMC4,Reference,C3 (Western Residual),0.0871,-0.836,304,-0.518,-0.539,-21,Calibration
CEH38,Extended,C3 (Western Residual),0.0555,-0.779,433,-0.599,-0.486,113,Calibration
NW8B,Extended,C3 (Western Residual),0.0594,-1.592,342,-1.205,-1.242,-36,Calibration
P1,Extended,C3 (Western Residual),0.0431,-0.319,868,,-0.059,,Reconstructed
PE,Extended,C3 (Western Residual),0.0506,-0.732,550,-0.495,-0.443,52,Calibration
CEH2,Reference,C4 (Main Forest),0.0176,-1.171,1644,-0.846,-0.851,-5,Out of scope
CEH20,Reference,C4 (Main Forest),0.0278,-1.297,883,-0.927,-0.967,-40,Out of scope
CEH30,Reference,C4 (Main Forest),0.0230,-1.664,984,-1.424,-1.308,116,Out of scope
CEH32,Reference,C4 (Main Forest),0.0120,-1.435,2352,-1.336,-1.096,240,Out of scope
CEH33,Reference,C4 (Main Forest),0.0190,-1.619,1265,-1.409,-1.267,143,Out of scope
CEH34,Reference,C4 (Main Forest),0.0077,-0.381,3338,-0.484,-0.117,367,Out of scope
NW10,Reference,C4 (Main Forest),0.0413,-1.020,626,-0.681,-0.710,-29,Out of scope
CEH15,Extended,C4 (Main Forest),0.0361,-1.357,527,-0.810,-1.023,-213,Out of scope
FE1,Extended,C4 (Main Forest),0.0141,-0.863,1499,-0.433,-0.565,-132,Out of scope
LIS1,Extended,C4 (Main Forest),0.0257,-0.934,1166,-0.413,-0.630,-217,Out of scope
CEH16,Reference,C5 (Coastal Forest),0.0364,-0.974,557,-0.715,-0.667,48,Out of scope
CEH17,Reference,C5 (Coastal Forest),0.0546,-2.204,343,-1.961,-1.809,152,Out of scope
CEH19,Reference,C5 (Coastal Forest),0.0420,-1.051,424,-0.831,-0.739,92,Out of scope
CEH31,Reference,C5 (Coastal Forest),0.0385,-1.610,669,-1.381,-1.258,123,Out of scope
NW9,Reference,C5 (Coastal Forest),0.0489,-0.933,434,-0.676,-0.629,47,Out of scope
CEH3,Extended,C5 (Coastal Forest),0.0554,-1.170,262,-1.081,-0.849,231,Out of scope
FE2,Extended,C5 (Coastal Forest),0.0455,-1.708,390,-1.341,-1.349,-9,Out of scope
FE3,Extended,C5 (Coastal Forest),0.0603,-2.032,340,-1.726,-1.650,76,Out of scope
FE4,Extended,C5 (Coastal Forest),0.0475,-1.621,486,-1.253,-1.268,-16,Out of scope
NW8,Extended,C5 (Coastal Forest),0.0516,-1.484,361,-1.401,-1.141,259,Out of scope

# Table S7.1. Equilibrium wetness index and MSL5 reconstruction, per well (n = 84). Levels are metres below ground surface, negative below the surface. The index is reconstructed from the open-dune calibration MSL5 = +0.237 + 0.929·EWI (r = 0.98, RMSE = 62 mm), fitted on the 62 in-scope wells carrying an observed five-year mean spring level. A further 2 open-dune well(s) carry an index but no valid five-year spring window and are reconstructed only; the 20 C4/C5 forest wells are reconstructed but held out of scope, their coefficients being the least constrained on the site. Status reads: 'Calibration', an in-scope well that entered the fit; 'Reconstructed', in scope but with no observed spring level; 'Out of scope', a forest well outside the calibration's scope. Standard errors on the index propagate the drainage coefficient alone, the dominant term; the full three-coefficient variant is carried in 26_equilibrium_wetness_index_per_well.csv. Source: 26_equilibrium_wetness_index_per_well.csv, 26_ewi_msl5_comparison.csv.
