region,imagery_date,frame,leaf_state,viewpoint,n_px,index,ratio_to_conifer,withheld_reason
forest_control,2006-01-01,seabed1-1-2006.png,leaf_off,vp3,12199,,,ground sampling distance 4.77 m/px > 2.0 — the 5 px texture window spans 24 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
warren_control,2006-01-01,seabed1-1-2006.png,leaf_off,vp3,8521,,,ground sampling distance 4.77 m/px > 2.0 — the 5 px texture window spans 24 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_in_view,2006-01-01,seabed1-1-2006.png,leaf_off,vp3,97828,,,ground sampling distance 4.77 m/px > 2.0 — the 5 px texture window spans 24 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
broadleaf_restock,2009-04-20,aerial20-4-2009.png,emerging,vp1,31706,0.9031894124603728,0.9002153754719285,
clearfell,2009-04-20,aerial20-4-2009.png,emerging,vp1,28575,1.2730917272641582,1.2688996698348622,
felling_experiment,2009-04-20,aerial20-4-2009.png,emerging,vp1,25581,1.3248574028010494,1.3204948905018727,
felling_1998_1,2009-04-20,aerial20-4-2009.png,emerging,vp1,29896,0.3580782728722289,0.3568991868315951,
felling_1998_2,2009-04-20,aerial20-4-2009.png,emerging,vp1,11920,0.35858919379769794,0.35740842538821715,
felling_1998_3,2009-04-20,aerial20-4-2009.png,emerging,vp1,16640,0.3234385025326806,0.32237347889893486,
forest_control,2009-04-20,aerial20-4-2009.png,emerging,vp1,156622,1.3087121299214228,1.3044027810429752,
warren_control,2009-04-20,aerial20-4-2009.png,emerging,vp1,120367,-0.03476697718724001,-0.0346524959115466,
forest_in_view,2009-04-20,aerial20-4-2009.png,emerging,vp1,879182,1.0033036949484284,1.0,
broadleaf_restock,2009-04-20,site 20-4-2009m.png,emerging,vp2,7462,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
clearfell,2009-04-20,site 20-4-2009m.png,emerging,vp2,5515,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_experiment,2009-04-20,site 20-4-2009m.png,emerging,vp2,4964,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_1,2009-04-20,site 20-4-2009m.png,emerging,vp2,5890,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_2,2009-04-20,site 20-4-2009m.png,emerging,vp2,2224,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_3,2009-04-20,site 20-4-2009m.png,emerging,vp2,3684,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_control,2009-04-20,site 20-4-2009m.png,emerging,vp2,32462,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
warren_control,2009-04-20,site 20-4-2009m.png,emerging,vp2,23437,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_in_view,2009-04-20,site 20-4-2009m.png,emerging,vp2,335665,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
broadleaf_restock,2011-06-19,site27-5-2010m.png,full_leaf,vp2_2006,7184,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
clearfell,2011-06-19,site27-5-2010m.png,full_leaf,vp2_2006,5283,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_experiment,2011-06-19,site27-5-2010m.png,full_leaf,vp2_2006,4716,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_1,2011-06-19,site27-5-2010m.png,full_leaf,vp2_2006,5675,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_2,2011-06-19,site27-5-2010m.png,full_leaf,vp2_2006,2118,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_3,2011-06-19,site27-5-2010m.png,full_leaf,vp2_2006,3559,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_control,2011-06-19,site27-5-2010m.png,full_leaf,vp2_2006,31166,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
warren_control,2011-06-19,site27-5-2010m.png,full_leaf,vp2_2006,22372,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_in_view,2011-06-19,site27-5-2010m.png,full_leaf,vp2_2006,326505,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
broadleaf_restock,2011-06-19,site19-6-2011m.png,full_leaf,vp2,7462,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
clearfell,2011-06-19,site19-6-2011m.png,full_leaf,vp2,5515,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_experiment,2011-06-19,site19-6-2011m.png,full_leaf,vp2,4964,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_1,2011-06-19,site19-6-2011m.png,full_leaf,vp2,5890,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_2,2011-06-19,site19-6-2011m.png,full_leaf,vp2,2224,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_3,2011-06-19,site19-6-2011m.png,full_leaf,vp2,3684,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_control,2011-06-19,site19-6-2011m.png,full_leaf,vp2,32462,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
warren_control,2011-06-19,site19-6-2011m.png,full_leaf,vp2,23437,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_in_view,2011-06-19,site19-6-2011m.png,full_leaf,vp2,335665,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
broadleaf_restock,2012-05-26,site26-5-2012m.png,full_leaf,vp2,7462,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
clearfell,2012-05-26,site26-5-2012m.png,full_leaf,vp2,5515,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_experiment,2012-05-26,site26-5-2012m.png,full_leaf,vp2,4964,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_1,2012-05-26,site26-5-2012m.png,full_leaf,vp2,5890,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_2,2012-05-26,site26-5-2012m.png,full_leaf,vp2,2224,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_3,2012-05-26,site26-5-2012m.png,full_leaf,vp2,3684,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_control,2012-05-26,site26-5-2012m.png,full_leaf,vp2,32462,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
warren_control,2012-05-26,site26-5-2012m.png,full_leaf,vp2,23437,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_in_view,2012-05-26,site26-5-2012m.png,full_leaf,vp2,335665,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
broadleaf_restock,2012-05-26,aerial26-5-2012.png,full_leaf,vp1,31706,1.2306540068145837,1.2205193568802424,
clearfell,2012-05-26,aerial26-5-2012.png,full_leaf,vp1,28575,1.0619000746690537,1.0531551427365782,
felling_experiment,2012-05-26,aerial26-5-2012.png,full_leaf,vp1,25581,1.1070940184498415,1.0979769065245861,
felling_1998_1,2012-05-26,aerial26-5-2012.png,full_leaf,vp1,29896,0.4315736313241735,0.42801954735732056,
felling_1998_2,2012-05-26,aerial26-5-2012.png,full_leaf,vp1,11920,0.364878691922468,0.36187385238945724,
felling_1998_3,2012-05-26,aerial26-5-2012.png,full_leaf,vp1,16640,0.5690456010578038,0.5643594114939919,
forest_control,2012-05-26,aerial26-5-2012.png,full_leaf,vp1,156622,1.2545351823304722,1.2442038667593769,
warren_control,2012-05-26,aerial26-5-2012.png,full_leaf,vp1,120367,-0.03803614572193875,-0.037722911441947074,
forest_in_view,2012-05-26,aerial26-5-2012.png,full_leaf,vp1,879182,1.0083035552670352,1.0,
broadleaf_restock,2017-03-24,site24-3-2017m.png,emerging,vp2,7462,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
clearfell,2017-03-24,site24-3-2017m.png,emerging,vp2,5515,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_experiment,2017-03-24,site24-3-2017m.png,emerging,vp2,4964,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_1,2017-03-24,site24-3-2017m.png,emerging,vp2,5890,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_2,2017-03-24,site24-3-2017m.png,emerging,vp2,2224,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_3,2017-03-24,site24-3-2017m.png,emerging,vp2,3684,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_control,2017-03-24,site24-3-2017m.png,emerging,vp2,32462,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
warren_control,2017-03-24,site24-3-2017m.png,emerging,vp2,23437,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_in_view,2017-03-24,site24-3-2017m.png,emerging,vp2,335665,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
broadleaf_restock,2017-03-24,aerial24-3-2017.png,emerging,vp1,31706,0.8988321648851985,0.8970068030286376,
clearfell,2017-03-24,aerial24-3-2017.png,emerging,vp1,28575,1.303574106684886,1.300926788815652,
felling_experiment,2017-03-24,aerial24-3-2017.png,emerging,vp1,25581,1.348333906760488,1.3455956900171846,
felling_1998_1,2017-03-24,aerial24-3-2017.png,emerging,vp1,29896,0.6823609596992505,0.6809752108165318,
felling_1998_2,2017-03-24,aerial24-3-2017.png,emerging,vp1,11920,0.5603794716146328,0.5592414445694883,
felling_1998_3,2017-03-24,aerial24-3-2017.png,emerging,vp1,16640,0.8210140071904709,0.8193466796170088,
forest_control,2017-03-24,aerial24-3-2017.png,emerging,vp1,156622,1.2577399644790308,1.2551857272739955,
warren_control,2017-03-24,aerial24-3-2017.png,emerging,vp1,120367,-0.001893771716400871,-0.0018899258163639118,
forest_in_view,2017-03-24,aerial24-3-2017.png,emerging,vp1,879182,1.00203494761734,1.0,
broadleaf_restock,2017-04-22,seabed22-4-2017-4.png,emerging,vp4,32863,,,"registration failed: only 33 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
clearfell,2017-04-22,seabed22-4-2017-4.png,emerging,vp4,20794,,,"registration failed: only 33 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
felling_experiment,2017-04-22,seabed22-4-2017-4.png,emerging,vp4,18576,,,"registration failed: only 33 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
felling_1998_1,2017-04-22,seabed22-4-2017-4.png,emerging,vp4,22787,,,"registration failed: only 33 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
felling_1998_2,2017-04-22,seabed22-4-2017-4.png,emerging,vp4,8045,,,"registration failed: only 33 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
felling_1998_3,2017-04-22,seabed22-4-2017-4.png,emerging,vp4,15507,,,"registration failed: only 33 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
forest_control,2017-04-22,seabed22-4-2017-4.png,emerging,vp4,127805,,,"registration failed: only 33 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
warren_control,2017-04-22,seabed22-4-2017-4.png,emerging,vp4,89670,,,"registration failed: only 33 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
forest_in_view,2017-04-22,seabed22-4-2017-4.png,emerging,vp4,815996,,,"registration failed: only 33 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
broadleaf_restock,2017-04-22,seabed22-4-2017-3.png,emerging,vp4,20189,,,ground sampling distance 2.04 m/px > 2.0 — the 5 px texture window spans 10 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
clearfell,2017-04-22,seabed22-4-2017-3.png,emerging,vp4,17534,,,ground sampling distance 2.04 m/px > 2.0 — the 5 px texture window spans 10 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_experiment,2017-04-22,seabed22-4-2017-3.png,emerging,vp4,15806,,,ground sampling distance 2.04 m/px > 2.0 — the 5 px texture window spans 10 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_1,2017-04-22,seabed22-4-2017-3.png,emerging,vp4,21111,,,ground sampling distance 2.04 m/px > 2.0 — the 5 px texture window spans 10 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_2,2017-04-22,seabed22-4-2017-3.png,emerging,vp4,7204,,,ground sampling distance 2.04 m/px > 2.0 — the 5 px texture window spans 10 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_3,2017-04-22,seabed22-4-2017-3.png,emerging,vp4,13582,,,ground sampling distance 2.04 m/px > 2.0 — the 5 px texture window spans 10 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_control,2017-04-22,seabed22-4-2017-3.png,emerging,vp4,113134,,,ground sampling distance 2.04 m/px > 2.0 — the 5 px texture window spans 10 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
warren_control,2017-04-22,seabed22-4-2017-3.png,emerging,vp4,64372,,,ground sampling distance 2.04 m/px > 2.0 — the 5 px texture window spans 10 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
forest_in_view,2017-04-22,seabed22-4-2017-3.png,emerging,vp4,433157,,,ground sampling distance 2.04 m/px > 2.0 — the 5 px texture window spans 10 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
broadleaf_restock,2017-04-22,seabed22-4-2017-2.png,emerging,vp4,32863,,,"registration failed: only 24 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
clearfell,2017-04-22,seabed22-4-2017-2.png,emerging,vp4,20794,,,"registration failed: only 24 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
felling_experiment,2017-04-22,seabed22-4-2017-2.png,emerging,vp4,18576,,,"registration failed: only 24 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
felling_1998_1,2017-04-22,seabed22-4-2017-2.png,emerging,vp4,22787,,,"registration failed: only 24 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
felling_1998_2,2017-04-22,seabed22-4-2017-2.png,emerging,vp4,8045,,,"registration failed: only 24 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
felling_1998_3,2017-04-22,seabed22-4-2017-2.png,emerging,vp4,15507,,,"registration failed: only 24 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
forest_control,2017-04-22,seabed22-4-2017-2.png,emerging,vp4,127805,,,"registration failed: only 24 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
warren_control,2017-04-22,seabed22-4-2017-2.png,emerging,vp4,89670,,,"registration failed: only 24 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
forest_in_view,2017-04-22,seabed22-4-2017-2.png,emerging,vp4,815996,,,"registration failed: only 24 placemark(s) matched — the frame is not registered, so the region mask cannot be trusted"
broadleaf_restock,2017-04-22,seabed22-4-2017-1.png,emerging,vp4,32788,,,reference separation 0.0051 < 0.02
clearfell,2017-04-22,seabed22-4-2017-1.png,emerging,vp4,15830,,,reference separation 0.0051 < 0.02
felling_experiment,2017-04-22,seabed22-4-2017-1.png,emerging,vp4,14069,,,reference separation 0.0051 < 0.02
felling_1998_1,2017-04-22,seabed22-4-2017-1.png,emerging,vp4,17307,,,reference separation 0.0051 < 0.02
felling_1998_2,2017-04-22,seabed22-4-2017-1.png,emerging,vp4,5642,,,reference separation 0.0051 < 0.02
felling_1998_3,2017-04-22,seabed22-4-2017-1.png,emerging,vp4,13834,,,reference separation 0.0051 < 0.02
forest_control,2017-04-22,seabed22-4-2017-1.png,emerging,vp4,101588,,,reference separation 0.0051 < 0.02
warren_control,2017-04-22,seabed22-4-2017-1.png,emerging,vp4,72799,,,reference separation 0.0051 < 0.02
forest_in_view,2017-04-22,seabed22-4-2017-1.png,emerging,vp4,738937,,,reference separation 0.0051 < 0.02
broadleaf_restock,2017-04-22,site22-4-2017m.png,emerging,vp2,7462,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
clearfell,2017-04-22,site22-4-2017m.png,emerging,vp2,5515,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_experiment,2017-04-22,site22-4-2017m.png,emerging,vp2,4964,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_1,2017-04-22,site22-4-2017m.png,emerging,vp2,5890,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_2,2017-04-22,site22-4-2017m.png,emerging,vp2,2224,,,ground sampling distance 2.88 m/px > 2.0 — the 5 px texture window spans 14 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
