symbol,uses,documents,top_document,meaning,units,pipeline_key,definition_score,candidate_definition,definition_seen_in
h_min,26,5,report_edits/text/report9.md,,,,11,"where P_winter is cumulative precipitation over October--March, P_summer is cumulative precipitation over April--September, h_min is the preceding summer minimum water table depth, h\_{max,winter} is the preceding winter maximum water table depth, *a* is the fitted regression coefficient on the seas",report_edits/text/report8.md
φ,25,5,docs/report/text/Newborough_Methods_Supplement.md,,,,15,"Prior to cross-correlation, both the rainfall and residual series were pre-whitened using a first-order autoregressive filter: x′(t) = x(t) − φ·x(t−1), where φ is the AR(1) coefficient of the rainfall series (+0.211 at RAF Valley).",docs/report/text/Supplementary_Material.md
γ,24,6,docs/report/text/Newborough_Methods_Supplement.md,,,,9,"where *t*~*ij*~ is the monthly water-table change at well *i* in month *j*, *d*~*i*\ ~is well *i*'s perpendicular distance from the eroding shoreline, δ(·) is the modelled distance decay, α~*i*\ ~and α~*j*~ are well and month fixed effects (absorbed by within-well demeaning), *W*~*ij*~ is the cumula",docs/papers/paper_1/text/PAPER1_SI_methods.md
h₀,21,3,docs/report/text/Newborough_Methods_Supplement.md,,,,9,"22 extended wells assigned cluster-level coefficients via the Pearson affinity audit of Section 3.3), using that well\'s observed mean summer minimum as h₀, produces a per-well critical rainfall threshold expressed as either millimetres of cumulative winter rainfall or as a dimensionless multiplier ",report_edits/text/report9.md
P_winter,18,6,report_edits/text/report9.md,,,,15,"where P_winter is cumulative precipitation over October--March, P_summer is cumulative precipitation over April--September, h_min is the preceding summer minimum water table depth, h\_{max,winter} is the preceding winter maximum water table depth, *a* is the fitted regression coefficient on the seas",report_edits/text/report8.md
ε,17,4,docs/report/text/Supplementary_Material.md,,,,6,"where *t*~*ij*~ is the monthly water-table change at well *i* in month *j*, *d*~*i*\ ~is well *i*'s perpendicular distance from the eroding shoreline, δ(·) is the modelled distance decay, α~*i*\ ~and α~*j*~ are well and month fixed effects (absorbed by within-well demeaning), *W*~*ij*~ is the cumula",docs/papers/paper_1/text/PAPER1_SI_methods.md
P_eff,15,4,docs/report/text/Newborough_Methods_Supplement.md,,,,7,where P_eff applies the relevant canopy interception factor at forest wells (C4 and C5;,report_edits/text/report8.md
Σ,14,3,docs/report/text/Newborough_Methods_Supplement.md,,,,13,"22 extended wells assigned cluster-level coefficients via the Pearson affinity audit of Section 3.3), using that well\'s observed mean summer minimum as h₀, produces a per-well critical rainfall threshold expressed as either millimetres of cumulative winter rainfall or as a dimensionless multiplier ",report_edits/text/report9.md
h_prev,13,3,docs/report/text/Newborough_Methods_Supplement.md,,,,3,"**Iterative simulation** is the autonomous forecast: starting from h_obs at the window's first month, the model predicts h forward step-by-step, with each month's prediction feeding into the next as *h_prev*.",docs/report/text/Newborough_Methods_Supplement.md
P_summer,13,5,report_edits/text/report9.md,,,,11,"where P_winter is cumulative precipitation over October--March, P_summer is cumulative precipitation over April--September, h_min is the preceding summer minimum water table depth, h\_{max,winter} is the preceding winter maximum water table depth, *a* is the fitted regression coefficient on the seas",report_edits/text/report8.md
h_target,10,3,docs/report/text/Newborough_Methods_Supplement.md,,,,6,"The most operationally significant metric for dune slack management is the critical rainfall threshold (P_flood) --- the cumulative winter rainfall depth required to raise the water table from its summer minimum to the elevation of the slack floor (h_target, where depth to water table equals zero).",report_edits/text/report8.md
h_peak,10,5,report_edits/text/report9.md,,,,0,,
μ,9,2,report_edits/text/report8.md,,,,4,"and μ\_{I,E} denotes the mean water-table depth at well I during era E.",report_edits/text/report8.md
P_clim,8,3,report_edits/text/report9.md,,,,12,"22 extended wells assigned cluster-level coefficients via the Pearson affinity audit of Section 3.3), using that well\'s observed mean summer minimum as h₀, produces a per-well critical rainfall threshold expressed as either millimetres of cumulative winter rainfall or as a dimensionless multiplier ",report_edits/text/report9.md
σ,8,3,report_edits/text/report8.md,,,,8,"σ is the coefficient on D_scrape(t), a distance-weighted scraping covariate applying an exponential decay from CEH36 with length scale λ = 300 m, activated at the April 2015 scraping date;",report_edits/text/report8.md
β₁₁,8,2,docs/report/text/Supplementary_Material.md,,,,3,"Fitted coefficients show that the extended parameterisation is only partly identified: β₁₁ is statistically significant (p \< 0.05) at 27 of the 64 wells, and its sign is mixed (negative at 33 wells, positive at 31), so the two rainfall terms do not partition the vadose-zone response cleanly at ever",docs/report/text/Supplementary_Material.md
D_fell,8,1,report_edits/text/report8.md,,,,6,"where α is the intercept --- the mean BACI gap (target centroid minus control) over the pre-intervention baseline, when CWB = 0 and D_scrape = D_fell = 0, absorbing the constant offset between the two centroid levels rather than being an effect of interest;",report_edits/text/report8.md
P_net,7,3,docs/report/text/Newborough_Methods_Supplement.md,,,,3,P_net is then split into ET and drainage according to the cluster's drainage fraction.,docs/report/text/Newborough_Methods_Supplement.md
b₁₁,7,1,docs/report/text/Newborough_Methods_Supplement.md,,,,5,"P(t−1) and the drainage regressor are collinear (mean correlation +0.234 across the network, range −0.102 to +0.532), so b₁₁ and β₃ compete for the same variance and b₁₁ is what survives after the drainage term takes its share.",docs/report/text/Newborough_Methods_Supplement.md
s_coast,6,2,docs/report/text/Newborough_Methods_Supplement.md,,,,3,"**Headline result is a bounded null**: every scale-factor CI spans zero (s_coast 0.53 [−0.12, 1.18] full-record) — the coastal and clearfell fields are collinear (r≈−0.48 with easting) and per-well residual scatter exceeds the driver amplitudes, so the dominant resolvable component of change is the ",PIPELINE_README.md
S_P,6,2,docs/report/text/Newborough_Methods_Supplement.md,,,,3,The denominator is the drainage-weighted rainfall the winter can supply at climatological rates (β₁·S_P).,report_edits/text/report8.md
S_E,6,2,docs/report/text/Newborough_Methods_Supplement.md,,,,3,Here S_P = Σα\^{n−i}·P̄\_i and S_E = Σα\^{n−i}·Ē_i are the drainage-weighted sums of climatological rainfall and PET over the horizon.,report_edits/text/report8.md
p_derived,5,2,docs/report/text/Newborough_Methods_Supplement.md,,,,0,,
P_scen,5,2,docs/report/text/Newborough_Methods_Supplement.md,,,,6,"where β₁ and β₂ are the cluster's SSM coefficients (Script 03), and P_scen / PET_scen apply the UKCP18 seasonal multipliers to the observed monthly climatology.",PIPELINE_README.md
P_base,5,2,docs/report/text/Newborough_Methods_Supplement.md,,,,6,"where β₁ and β₂ are the cluster's SSM coefficients from Script 03 (S.3 of this supplement), P_base and PET_base are the long-term monthly climatology over the monitoring period (2005-04 to 2026-02), and P_scen and PET_scen apply seasonal UKCP18 multipliers to P_base and PET_base.",docs/report/text/Newborough_Methods_Supplement.md
β₁₀,5,2,docs/report/text/Supplementary_Material.md,,,,0,,
h_max,5,5,docs/report/text/Newborough_Methods_Supplement.md,,,,2,"Cluster               β(h_max, winter)   β(P_win→spr)   β(PET_win→spr)   Intercept (m)   R²      n",docs/report/text/Newborough_Methods_Supplement.md
h_depth,4,2,docs/papers/paper_1/text/Paper1.md,,,,9,"where z₀ is the drainage datum (a uniform depth below the ground surface, set at 3.7 m for the primary analysis) and h_depth is the water-table position in the negative-below-ground convention.",docs/papers/paper_1/text/Paper1.md
h_predicted,4,2,docs/report/text/Newborough_Methods_Supplement.md,,,,5,"A Δβ-projected predicted step (*Δh_predicted = Δβ₁·mean_P − Δβ₂·mean_PET − Δβ₃·mean_h_disp*) is not commensurable with the observed 10a step: the 10a step is the coefficient on a felling dummy in an ANCOVA fitted to the *control-differenced* centroid (target centroid minus control centroid), with re",docs/report/text/Newborough_Methods_Supplement.md
γ_P,4,1,docs/report/text/Newborough_Methods_Supplement.md,,,,4,"The two coefficient estimates (γ_P at monthly and annual resolution) and their standard errors are written to *pipeline_site_observations.csv* via four new registry entries --- *impact_vs_edge_clearfell_monthly_step*, *impact_vs_edge_clearfell_monthly_step_se*, *impact_vs_edge_clearfell_summer_step*",docs/report/text/Newborough_Methods_Supplement.md
b₃,4,2,docs/web_tools/text/NRG_Web_Tools_Technical_Note.md,,,,0,,
a₁,4,2,docs/report/text/Newborough_Methods_Supplement.md,,,,2,> ē(m) = a₀ + a₁·cos(2π·m/12) + a₂·sin(2π·m/12),docs/report/text/Newborough_Methods_Supplement.md
a₂,4,2,docs/report/text/Newborough_Methods_Supplement.md,,,,2,> ē(m) = a₀ + a₁·cos(2π·m/12) + a₂·sin(2π·m/12),docs/report/text/Newborough_Methods_Supplement.md
C_local,4,1,report_edits/text/report8.md,,,,10,"> (where C_local,t is the water-table depth at the local control well at time t and C_region,t is the regional mean across the C3 climate control wells at the same time.",report_edits/text/report8.md
D_scrape,4,1,report_edits/text/report8.md,,,,6,"where α is the intercept --- the mean BACI gap (target centroid minus control) over the pre-intervention baseline, when CWB = 0 and D_scrape = D_fell = 0, absorbing the constant offset between the two centroid levels rather than being an effect of interest;",report_edits/text/report8.md
σ_F,4,1,report_edits/text/report8.md,,,,6,σ_F is the mean water-level change in the reference zone after scraping.**,report_edits/text/report8.md
φ_F,4,1,report_edits/text/report8.md,,,,6,φ_F is the mean water-level change in the reference zone after felling.**,report_edits/text/report8.md
s_cf,3,2,docs/report/text/Newborough_Methods_Supplement.md,,,,0,,
η,3,3,PIPELINE_README.md,,,,0,,
h_series,3,1,docs/report/text/Newborough_Methods_Supplement.md,,,,0,,
N_BOOTSTRAP,3,1,docs/report/text/Newborough_Methods_Supplement.md,,,,0,,
h_obs,3,2,docs/report/text/Newborough_Methods_Supplement.md,,,,10,"where h_obs,t and h_sim,t are the observed and model-simulated water-table levels in month t;",report_edits/text/report8.md
Δ_NSE,3,1,docs/report/text/Newborough_Methods_Supplement.md,,,,6,"-   **The TLM is the simplest unphysical alternative, not a comprehensive comparator.** Wells where the SSM iteratively underperforms the TLM (CEH13 by Δ_NSE = −0.027, CEH14 by Δ_NSE = −6.82) sit at the C4 Main Forest's bedrock-ridge interface.",docs/report/text/Newborough_Methods_Supplement.md
β_P,3,1,docs/report/text/Newborough_Methods_Supplement.md,,,,0,,
P_mm,3,1,docs/report/text/Newborough_Methods_Supplement.md,,,,0,,
b₁,3,2,docs/web_tools/text/NRG_Web_Tools_Technical_Note.md,,,,0,,
b₂,3,2,docs/web_tools/text/NRG_Web_Tools_Technical_Note.md,,,,3,"where P_eff_sc = P × sP × (1 − I_scenario) for forest wells, PET_sc = PET × sPET, and b₂_sc = b₂ × sB₂ (where sB₂ is now season-specific: sB2_w for winter, sB2_s for summer).",docs/web_tools/text/NRG_Web_Tools_Technical_Note.md
P_m,3,1,docs/report/text/Newborough_Methods_Supplement.md,,,,3,"The external climate index is the spring climatic water balance, CWB(t) = Σ(P_m − PET) over March--May, contemporaneous with the spring level (no lag;",docs/report/text/Newborough_Methods_Supplement.md
a₀,3,2,docs/report/text/Newborough_Methods_Supplement.md,,,,2,> ē(m) = a₀ + a₁·cos(2π·m/12) + a₂·sin(2π·m/12),docs/report/text/Newborough_Methods_Supplement.md
Δ_drift,3,1,report_edits/text/report8.md,,,,0,,
ψ,3,1,report_edits/text/report8.md,,,,8,"and ψ is the coefficient on Easting(t), an easting × time interaction built as the impact-minus-control easting difference multiplied by elapsed months.",report_edits/text/report8.md
