document,chapter,level,number,heading,typed_prefix
report8.odt,3,3,3.7.3,Specific Yield Estimation: Water Table Fluctuation Method,
report8.odt,3,3,3.7.4,Network-Scale Coastal-Retreat Gradient Regression,
report8.odt,3,3,3.7.5,Five-Year Mean Spring Water Level (MSL5) and Associated Forecasting Tools,
report8.odt,3,3,3.7.6,Equilibrium Wetness Index and Vegetation Cross-Validation,
report8.odt,3,2,3.8,Spatial Analysis,
report8.odt,3,3,3.8.1,"Baseline Fields, Combined Drivers and Network Change",
report8.odt,3,3,3.8.2,Scenario Framework and Interactive Viewer,
report8.odt,3,2,3.9,Computational Implementation,
report8.odt,3,3,3.9.1,Data Pre-processing and Time-Series Management,
report8.odt,3,3,3.9.2,Statistical and Predictive Modelling,
report8.odt,3,3,3.9.3,Geospatial Processing and Cartographic Visualization,
report8.odt,3,2,3.10,Data requirements and Replicability,
report9.odt,4,1,4,Results,
report9.odt,4,2,4.1,Climate and Well Network Characterization,
report9.odt,4,3,4.1.1,Climate Record,
report9.odt,4,3,4.1.2,4.1.2 Well Network,yes
report9.odt,4,2,4.2,Network Clustering and Spatial Architecture,
report9.odt,4,3,4.2.1,Cluster Hydrographs and Seasonal Amplitudes,
report9.odt,4,3,4.2.2,Cluster Mechanistic Characterization,
report9.odt,4,3,4.2.3,Recharge and Losses: A Cluster-Level Water Balance,
report9.odt,4,3,4.2.4,Specific Yield Estimation,
report9.odt,4,2,4.3,Checking the Clusters Pearson Affinity Analysis,
report9.odt,4,2,4.4,Model Benchmarking: State-Space Model Comparison with Traditional Linear Models,
report9.odt,4,2,4.5,Dune Scraping Intervention Analysis,
report9.odt,4,3,4.5.1,Background Environmental Drift,
report9.odt,4,3,4.5.2,Paired BACI and Robustness,
report9.odt,4,3,4.5.3,Drainage Coefficient Response,
report9.odt,4,3,4.5.4,Summer Minima,
report9.odt,4,3,4.5.5,Scraping Propagation into the Surrounding Aquifer,
report9.odt,4,3,4.5.6,Scenario Contextualization,
report9.odt,4,2,4.6,The December 2017 Experimental Clearfell: Monitoring and Retrospective Analysis,
report9.odt,4,3,4.6.1,Interpretive Context,
report9.odt,4,3,4.6.2,Climate Sensitivity,
report9.odt,4,3,4.6.3,ANCOVA-BACI Results,
report9.odt,4,3,4.6.4,Summer Minima,
report9.odt,4,3,4.6.5,Spatial Step-Change Maps,
report9.odt,4,3,4.6.6,Coefficient Decomposition,
report9.odt,4,3,4.6.7,Robustness,
report9.odt,4,2,4.7,Critical Rainfall Threshold Forecasting - Predicting Winter flooding and Summer droughts,
report9.odt,4,3,4.7.1,Mechanistic State-Space Equations,
report9.odt,4,3,4.7.2,Seasonal Prediction Equations,
report9.odt,4,3,4.7.3,Summer Drought Prediction Equations,
report9.odt,4,3,4.7.4,Spatial Distribution of P_flood and Flooding Status Across the Well Network,
report9.odt,4,3,4.7.5,Critical Rainfall Threshold Equations (P_flood),
report9.odt,4,2,4.8,Climate Trajectory and Threshold Exceedance,
report9.odt,4,3,4.8.1,Summer and Winter Trajectories,
report9.odt,4,3,4.8.2,Network-scale partition of the summer-minimum decline.,
report9.odt,4,3,4.8.3,Independent transect estimate of the coastal drawdown rate,
report9.odt,4,3,4.8.4,Observed Winter Maximum Flooding Record,
report9.odt,4,3,4.8.5,Five-Year Mean Spring Water Level (MSL5),
report9.odt,4,3,4.8.6,Equilibrium Wetness Index and Vegetation Cross-Validation,
report9.odt,4,2,4.9,Spatial Groundwater Analysis,
report9.odt,4,3,4.9.1,Datum Sensitivity,
report9.odt,4,3,4.9.2,Spatial Coefficient Structure,
report9.odt,4,3,4.9.3,Drainage Decay Half-Life and Forest Drawdown Propagation,
report9.odt,4,3,4.9.4,Coastal-Margin Processes and the Easting Gradient,
report9.odt,4,3,4.9.5,Per-Well Forest Zone Analysis,
report9.odt,4,3,4.9.6,Mean Water Table Surface and Groundwater Flow Direction,
report9.odt,4,3,4.9.7,Water Balance Residual Field,
report9.odt,4,3,4.9.8,Combined Driver Assessment and Observed Network Change,
report9.odt,4,4,4.9.8.1,Driver validation and comparative footing,
report9.odt,4,2,4.10,Scenario Analysis,
report9.odt,4,3,4.10.1,Climate Scenario Projections,
report9.odt,4,3,4.10.2,Forest Management Scenarios,
report10.odt,5,1,5,Discussion,
report10.odt,5,2,5.1,Linking Groundwater Behaviour to Geology and Land Cover,
report10.odt,5,3,5.1.1,Cluster Classification and Validation,
report10.odt,5,2,5.2,"Boundary Conditions, Model Limitations and Forecasting",
report10.odt,5,3,5.2.1,Water Balance Residuals as a Model-Adequacy Diagnostic,
report10.odt,5,3,5.2.2,Displacement Formulation and Depth-Dependent PET,
report10.odt,5,3,5.2.3,The C4 Main Forest Drainage Coefficient: Identifiability and Sensitivity,
report10.odt,5,3,5.2.4,Predictive Skill and Operational Forecasting,
report10.odt,5,3,5.2.5,Seasonal Prediction and the Intervention Window,
report10.odt,5,2,5.3,"Recharge, Loss and the Water Balance",
report10.odt,5,3,5.3.1,Recharge Partitioning and Atmospheric Draw,
report10.odt,5,3,5.3.2,Drainage Decay and the Volumetric Water Balance,
report10.odt,5,2,5.4,Dune Scraping,
report10.odt,5,3,5.4.1,Measured Benefit and Durability,
report10.odt,5,3,5.4.2,Interaction with the Clearfell,
report10.odt,5,3,5.4.3,Coastal Erosion Analogy and Cascade Risk,
report10.odt,5,2,5.5,The Clearfell Experiment,
report10.odt,5,3,5.5.1,"Seasonal Asymmetry, the β₁ Decline, and the Confounded Baseline",
report10.odt,5,3,5.5.2,Forest Management Scenario Responses,
report10.odt,5,2,5.6,Hydrological Effects of the Plantation,
report10.odt,5,3,5.6.1,"Atmospheric Draw, Specific Yield and the β₂ Coefficient",
report10.odt,5,3,5.6.2,Summer Minimum Depths at the Forest Margin,
report10.odt,5,3,5.6.3,Broadleaf Conversion: The NW10 Natural Experiment,
report10.odt,5,3,5.6.4,"Stand Density, Thinning and the Dothistroma Natural Experiment",
report10.odt,5,3,5.6.5,Canopy Salt Interception and Post-Felling Geochemistry,
report10.odt,5,2,5.7,Spatial Groundwater Modelling: Findings and Limitations,
report10.odt,5,3,5.7.1,Seasonal Asymmetry under Climate Projections,
report10.odt,5,3,5.7.2,Forest Management Scenarios and Structural Isolation,
report10.odt,5,3,5.7.3,Framework Limitations and Continuous-Flow Modelling,
report10.odt,5,3,5.7.4,Forest Scenario Predictions Against the Observed Record,
report10.odt,5,3,5.7.5,Parametric Prediction and Observed Network Change,
report10.odt,5,3,5.7.6,"External Validation Against Dune-Slack Vegetation, and a Structural Wetness Index",
report10.odt,5,3,5.7.7,What the Record Cannot Resolve: Two Withdrawn Inferences and the Length of Record They Require,
report10.odt,5,3,5.7.8,Out-of-Sample Test Against the 1989–96 Record,
report10.odt,5,2,5.8,The Reach of Forest Management Interventions,
report10.odt,5,3,5.8.1,P_flood Recoverability and the Operational Boundary,
report10.odt,5,3,5.8.2,Climate Trajectory as the Binding Constraint,
report10.odt,5,2,5.9,Implications for Restoration and Monitoring,
report10.odt,5,2,5.10,Transferability: Requirements and Limits,
report11.odt,6,1,6,Limitations,
report11.odt,6,2,6.1,Temporal resolution and conservative volatility estimates,
report11.odt,6,2,6.2,Record length — the difference between a level and a rate,
report11.odt,6,2,6.3,Parallel trends — unverifiable rather than violated,
report11.odt,6,2,6.4,Thornthwaite PET and sensitivity of absolute thresholds,
report11.odt,6,2,6.5,The NW10 broadleaf comparison — a single uncontrolled well,
report11.odt,6,2,6.6,Spatial analysis — absence of calibrated continuous-flow modelling,
report11.odt,6,2,6.7,BACI experiment — network design limitations,
report11.odt,6,2,6.8,Coastal-erosion confound — first-order spatial control rather than time-lagged propagation,
report11.odt,6,2,6.9,Water balance closure as weak validation,
report11.odt,6,2,6.10,"Topographic proxies, aeolian deflation, and bedrock causation",
report11.odt,6,2,6.11,MSL5 metric: application beyond its intended domain,
report12.odt,7,1,7,Conclusions,
report13.odt,8,1,8,References,
report14.odt,9,1,9,Acknowledgements,
report15.odt,10,1,10,Data Availability,
report15.odt,10,2,10.1,Data Availability and Software,
