id,verdict,reason,better,batch,attribution_read
report:9728cbb022,confirm,C5 beta_2_atmospheric_draw matches 'β₂ = 1.27'.,,"report, report6, report7",C5 (Coastal Forest) · beta_2_atmospheric_draw · 03_03_cluster_mechanistic_coefficients.csv · committed 1.2743092283961304 · index proposed
report:468b331cc8,confirm,C4 mean amp_coefficient (script 35 per-well amplification) matches 'spring swing 1.65 times the network mean'.,,"report, report6, report7",C4 mean of amp_coefficient · amp_coefficient = 1.64532 [35_per_well_amplification.csv]
report:377cb2209c,confirm,Delta_B_minus_A (Model B minus A median NSE) matches 'median per-well nse improvement +0.82'.,,"report, report6, report7",Median iterative NSE · Delta_B_minus_A = 0.82444 [08_lcsc_04_table3_benchmark_summary.csv]
report:c63ddfd650,confirm,benchmark_positive_NSE_SSM matches '65 of 66 wells with positive nse'.,,"report, report6, report7",benchmark_positive_NSE_SSM · Value = 65 [08_report_numbers.csv]
report:eed6ad8f47,confirm,benchmark_n_wells matches the '66' denominator.,,"report, report6, report7",benchmark_n_wells = 66 [08_report_numbers.csv]
report:ab253b00cb,confirm,benchmark_positive_NSE_TLM matches '30 of 66 for tlm'.,,"report, report6, report7",benchmark_positive_NSE_TLM · Value = 30 [08_report_numbers.csv]
report:a724fac776,confirm,benchmark_n_wells matches the second '66' denominator (same row as neighbour).,,"report, report6, report7",benchmark_n_wells = 66 [08_report_numbers.csv]
report:1fafbe3fe2,deny,"1.8% water-balance closure attributed to C4's beta_3_drainage; digit coincidence, wrong quantity entirely.",C5 Residual_m_month / Total_loss_m_month ~1.79% [16_water_bal_table.csv],"report, report6, report7",min of Coastal_Forest · Coastal_Forest = -1.8078 [03_regional_averages.csv]
report:e37fd15e19,confirm,"SD15b-SD16 band width (0.98-0.61=0.37m) matches 'spans only 37cm', both terms named in the sentence.",,"report, report6, report7",
report:1264f4b68b,confirm,CEH36 Paired Shift_mm=194.5 matches 'paired summer minimum shift of +195mm'.,,"report, report6, report7",CEH36 / Paired · Shift_m = 0.1945 [09c_02_summer_minima_shifts.csv] as mm
report:e2ac360e32,deny,p=0.004 for the CEH36 paired shift attributed to an unrelated Western_Block spring-transfer p-value.,CEH36 · Paired · p_value = 0.004454 [09c_02_summer_minima_shifts.csv],"report, report6, report7",CEH36 / Paired · p_value = 0.00445384 [09c_02_summer_minima_shifts.csv]
report:929ff3a030,confirm,CEH36_raw_BACI_step matches 'raw baci +129mm' (key explicitly named 'raw').,,"report, report6, report7",CEH36_raw_BACI_step = 0.1294 [09e_report_numbers.csv] as mm
report:9a66390827,confirm,CEH36_synthetic_control_step matches 'synthetic control +137mm'.,,"report, report6, report7",CEH36_synthetic_control_step = 0.1368 [09e_report_numbers.csv] as mm
report:d673fb638c,deny,sentence explicitly says 'ssm forward residual +73mm' but primary key is Gap_paired_m from a spring-means file.,CEH36_SSM_forward_residual_step = 0.0734 [09e_report_numbers.csv],"report, report6, report7",CEH36_SSM_forward_residual_step = 0.0734 [09e_report_numbers.csv] as mm
report:6b7a5e5455,confirm,WMC3_BACI_DiD_step_2015_scraping matches '-55mm ... at the 2015 ... scrape'.,,"report, report6, report7",WMC3_BACI_DiD_step_2015_scraping = -0.0552146 [10_consolidated_report_numbers.csv] as mm
report:107b581260,confirm,WMC3_BACI_DiD_step_2023_scraping matches '-54mm ... at the ... 2023 scrapes'.,,"report, report6, report7",WMC3_BACI_DiD_step_2023_scraping · Value = -0.0538282 [10_consolidated_report_numbers.csv] as mm
report:122432c2c8,confirm,clearfell.kml polygon area matches '4.4 ha of corsican pine'.,,"report, report6, report7",clearfell.kml polygon area = 4.41 ha · area_ha = 4.40791 [clearfell.kml]
report:5e6139fc22,confirm,ANCOVA_C_WMC3_only_Forest_clearfell_step matches 'single in-compartment impact well wmc3' +113mm.,,"report, report6, report7",ANCOVA_C_WMC3_only_Forest_clearfell_step = 0.113095 [10_consolidated_report_numbers.csv] as mm
report:cbcb926d80,deny,p=0.002 pairs with the WMC3-only step (Model/ANCOVA_C) but attribution is Model B (WMC3+FE2).,ANCOVA_C_WMC3_only_Forest_clearfell_p = 0.00209 [10_consolidated_report_numbers.csv],"report, report6, report7",ANCOVA_C_WMC3_only_Forest_clearfell_p = 0.00208622 [10_consolidated_report_numbers.csv]
report:ee075163b7,confirm,ANCOVA_Forest_Edge_clearfell_step matches 'edge-tier step of +30mm'.,,"report, report6, report7",ANCOVA_Forest_Edge_clearfell_step = 0.0296701 [10_consolidated_report_numbers.csv] as mm
report:6b747a9f14,confirm,Forest/Edge Clearfell_p matches 'not statistically significant (p=0.25)' paired with the edge-tier step.,,"report, report6, report7",Forest / Edge · Clearfell_p = 0.248589 [10a_01_ancova_comparison_table.csv]
report:f0ab876abb,confirm,ANCOVA_A_WMC3+FE1+FE2 step matches 'synthetic extension of within-compartment fe wells ... +80mm'.,,"report, report6, report7",ANCOVA_A_WMC3+FE1+FE2_Forest_clearfell_step = 0.0803304 [10_consolidated_report_numbers.csv] as mm
report:8f8961aec5,confirm,"ANCOVA_A p=0.000879 satisfies 'p<0.001', consistent with the +80mm Model A pairing.",,"report, report6, report7","p < 0.001: the row its neighbours cite (10_consolidated_report_numbers.csv · ANCOVA_A_WMC3+FE1+FE2_Forest_clearfell_p) has Value = 0.000879, which satisfies the"
report:bfa0d981e6,confirm,clearfell/annual/C4 we_mean_mm matches 'c4 +10.0mm w.e./month'.,,"report, report6, report7",clearfell / annual / C4 · we_mean_mm = 9.96443 [19_scenario_summary.csv]
report:2954cd48d5,confirm,clearfell/annual/C5 we_mean_mm matches 'c5 +12.2mm'.,,"report, report6, report7",clearfell / annual / C5 · we_mean_mm = 12.1961 [19_scenario_summary.csv]
report:4aeba1ba28,confirm,thinning/annual/C4 we_mean_mm matches 'thinning: +5.0'.,,"report, report6, report7",thinning / annual / C4 · we_mean_mm = 4.98222 [19_scenario_summary.csv]
report:a9a607cdaf,confirm,thinning/annual/C5 we_mean_mm matches '+6.1 respectively'.,,"report, report6, report7",thinning / annual / C5 · we_mean_mm = 6.09805 [19_scenario_summary.csv]
report:38dc83c247,deny,sentence's +2.8mm is broadleaf/C4 but attribution is thinning/C3.,broadleaf / annual / C4 · we_mean_mm = 2.762 [19_scenario_summary.csv],"report, report6, report7",broadleaf / annual / C4 · we_mean_mm = 2.76182 [19_scenario_summary.csv]
report:f951b067a7,confirm,"broadleaf/C5/annual we_mean_mm=4.03 matches 'c5 +4.0mm', correct subject/cluster.",,"report, report6, report7",ukcp18_2050s / winter / C5 · we_median_mm = 3.98106 [19_scenario_summary.csv]
report:5842294dcd,deny,"interception fraction 24% attributed to a well count (n_wells), not a percentage.",FOREST_INTERCEPTION = 0.24 [config.py],"report, report6, report7",
report:f40c27d4f1,deny,interception fraction 15% attributed to an unrelated canopy-index ratio from aerial imagery.,BROADLEAF_INTERCEPTION = 0.15 [config.py],"report, report6, report7",clearfell / 2020-04-24 / aerial24-4-2020.png · ratio_to_conifer = 0.149153 [41_01_canopy_index.csv] as %
report:57c2d2fa4a,confirm,ukcp18_2050s/C4 we_mean_mm matches '-6.2mm w.e./month by the 2050s'.,,"report, report6, report7",ukcp18_2050s / annual / C4 · we_mean_mm = -6.15176 [19_scenario_summary.csv]
report:9a98ee2700,confirm,ukcp18_2080s/C4 we_mean_mm matches '-10.9mm by the 2080s'.,,"report, report6, report7",ukcp18_2080s / annual / C4 · we_mean_mm = -10.9338 [19_scenario_summary.csv]
report:5dea4c6c83,confirm,Headline_reference_distance matches '150m from the shoreline'.,,"report, report6, report7",Headline_reference_distance = 150 [25_report_numbers.csv]
report:421c0a1c00,confirm,C5_gradient_pct_of_basis matches 'accounts for 113% of its observed decline'.,,"report, report6, report7",C5_gradient_pct_of_basis = 113.312 [25_report_numbers.csv]
report:7af3db5545,confirm,post_2013_anomaly summer_max_mean matches 'post-2013 period +0.94°c above baseline'.,,"report, report6, report7",post_2013_anomaly · summer_max_mean = 0.941995 [00_03_summer_warming_stats.csv]
report:a74129c6d2,confirm,full_record/May slope matches 'may (+0.068 ...)'.,,"report, report6, report7",full_record / 5 · slope_mm_per_yr = 0.0677768 [00_06_pet_monthly_trends.csv]
report:981d416a37,deny,May's p=0.002 attributed to a beta2-vs-tR Spearman p-value from a different script; the May row in the same trends file has p=0.0016.,"full_record, month=5, p_value = 0.001641 [00_06_pet_monthly_trends.csv]","report, report6, report7",full_record / 5 · p_value = 0.00164144 [00_06_pet_monthly_trends.csv]
report:ad41b8691d,confirm,full_record/June slope matches 'june (+0.048 ...)'.,,"report, report6, report7",full_record / 6 · slope_mm_per_yr = 0.0480474 [00_06_pet_monthly_trends.csv]
report:d28d211d30,confirm,"full_record/June p_value=0.0328 matches 'p = 0.033' for june, same row as its neighbour.",,"report, report6, report7",full_record / 6 · p_value = 0.0328232 [00_06_pet_monthly_trends.csv]
report:4b78753662,confirm,full_record/July slope matches 'july (+0.063 ...)'.,,"report, report6, report7",full_record / 7 · slope_mm_per_yr = 0.0629461 [00_06_pet_monthly_trends.csv]
report:8a8a7750cd,confirm,full_record/July p_value=0.00952 rounds to 'p = 0.010'.,,"report, report6, report7",full_record / 7 · p_value = 0.00951504 [00_06_pet_monthly_trends.csv]
report:709245b7ec,deny,90% CI attributed to an unrelated Ranwell hindcast z-score; the CI is the 5th/95th percentile span in the crossing-year bootstrap.,C1/SD16 year_crossing_5 & year_crossing_95 [14b_year_of_crossing.csv],"report, report6, report7",
report:d320f191c0,confirm,"C1 2080s spring_delta_h_mean_m (~21mm) is the smallest across clusters, matching the low end of '21--39mm'.",,"report, report6, report7",C1 (Lake Edge) / 2080s · spring_delta_h_mean_m = -0.0209654 [26b_msl5_ukcp18_projection_summary.csv] as mm
report:d81aa3ccaf,confirm,"C4 2080s spring_delta_h_mean_m (~39mm) is the largest across clusters, matching the high end of the range.",,"report, report6, report7",C4 (Main Forest) / 2080s · spring_delta_h_mean_m = -0.0387296 [26b_msl5_ukcp18_projection_summary.csv] as mm
report:d1794b5289,confirm,msl5_deepening=-96.8mm matches 'site-wide secular deepening of 97mm'.,,"report, report6, report7",
report:1cf4ed939d,confirm,msl5_change_ceh22 matches 'ceh22 -229mm'.,,"report, report6, report7",msl5_change_ceh22 = -228.667 [20_msl5_report_numbers.csv]
report:b166ceb14d,confirm,nw9 raw_change_mm=-150 matches the low end 'c5 coastal members -150'.,,"report, report6, report7",nw9 · C5 · raw_change_mm = -150 [20_msl5_change_perwell.csv]
report:572000d57a,confirm,"ceh19 raw_change_mm=-152.7 rounds to '-153mm', the other end of the range.",,"report, report6, report7",ceh19 · C5 · raw_change_mm = -152.667 [20_msl5_change_perwell.csv]
report:5fc8f0ce70,deny,"MSL5 five-year-window SE by cluster (78mm) attributed to L_se, the coastal decay-length standard error in metres.",C1 (Lake Edge) msl5_window_se_mm_median ~78.2mm [26_index_precision_by_cluster.csv],"report, report6, report7",
report:ff55ec8f7b,deny,"the range's upper bound (181mm) attributed to well d8's absolute MSL5 level, not a standard error.",C4 (Main Forest) msl5_window_se_mm_median ~180.6mm [26_index_precision_by_cluster.csv],"report, report6, report7",d8 · MSL5_bg_2017_m = -0.181333 [20_msl5_change_perwell.csv] as mm
report:a32afbfa1f,deny,"'to within ~11mm' is a spring-level reproduction accuracy; attribution is a count of Ranwell sites within 0.3m positional tolerance (a count, not a distance in mm).",,"report, report6, report7",FourZoneSpring_Impact_clearfell_step_se = 0.0113739 [10_consolidated_report_numbers.csv] as mm
report:365ca9c0e9,confirm,MSL5 pearson_r matches 'r = 0.83'.,,"report, report6, report7",MSL5 · pearson_r = 0.828958 [26_ebf_prediction_summary.csv]
report:a34786bb3d,confirm,n=18 in the same MSL5 row matches the sentence's 'n = 18'.,,"report, report6, report7",MSL5 · n = 18 [26_ebf_prediction_summary.csv]
report:c6be422639,confirm,MSL5 williams_p_vs_ewi_annual matches 'williams p = 0.45'.,,"report, report6, report7",MSL5 · williams_p_vs_ewi_annual = 0.445204 [26_ebf_prediction_summary.csv]
report:c222fb95b6,confirm,ewi_msl5_rmse_mm_open_dune matches 'reconstructs ... to 61mm rmse'.,,"report, report6, report7",
report:31571c4e9f,confirm,fit_open_water_n_scenes matches '43 cloud-free winter scenes'.,,"report, report6, report7",fit_open_water_n_scenes = 43 [45_report_numbers.csv]
report:7093929603,confirm,"study_area_ha (45_report_numbers) is explicitly noted as the wet-area scaling area, matching '306.97 ha, forest excluded'.",,"report, report6, report7",study_area_ha = 306.97 [45_report_numbers.csv]
report:3992f92e67,confirm,fit_wet_floor_r2_log matches 'wet floor r² = 0.77'.,,"report, report6, report7",fit_wet_floor_r2_log = 0.767452 [45_report_numbers.csv]
report:3d9ba3adf4,confirm,fit_open_water_r2_log matches 'open water r² = 0.71'.,,"report, report6, report7",fit_open_water_r2_log = 0.711666 [45_report_numbers.csv]
report:5228132d97,confirm,oos_C_open_water_n_months matches 'n = 238 well-months'.,,"report, report6, report7",oos_C_open_water_n_months = 238 [45_report_numbers.csv]
report:ffed5fdd99,confirm,oos_C_wet_floor_r2 matches 'wet-floor area r² = 0.80'.,,"report, report6, report7",oos_C_wet_floor_r2 = 0.802125 [45_report_numbers.csv]
report:b9acec2859,confirm,"oos_C_wet_floor_median_ratio=0.955 rounds to 'median modelled:observed ratio 0.96', consistent (mode C) with the paragraph's other mode-C figures.",,"report, report6, report7",oos_C_wet_floor_median_ratio = 0.955233 [45_report_numbers.csv]
report6:e7fb4cc98f,confirm,ranwell_delta_m_combined_all (8 sites) matches '-0.09 ... over eight sites'.,,"report, report6, report7",ranwell_delta_m_combined_all = -0.0926463 [44_report_numbers.csv]
report6:5918c6b1df,confirm,"ranwell_sigma_m_combined_all matches the paired '± 0.10 m', same 8-site basis as the delta.",,"report, report6, report7",ranwell_sigma_m_combined_all = 0.102779 [44_report_numbers.csv]
report6:7737280a4e,confirm,hindcast r for site 1 (lowest) matches the low end of 'r 0.74--0.91'.,,"report, report6, report7",1 · r = 0.743831 [44_04_hindcast_metrics.csv]
report6:defc58a3bb,confirm,hindcast r for site 8 (highest) matches the high end of the range.,,"report, report6, report7",8 · r = 0.914107 [44_04_hindcast_metrics.csv]
report6:15c4a160e2,confirm,nse_after_offset for site 1 matches the low end of 'bias-removed efficiency 0.32--0.80'.,,"report, report6, report7",1 · nse_after_offset = 0.319806 [44_04_hindcast_metrics.csv]
report6:b4c9ab3ce0,confirm,nse_after_offset for site 8 matches the high end of the range.,,"report, report6, report7",8 · nse_after_offset = 0.798308 [44_04_hindcast_metrics.csv]
report6:fa2388d36d,confirm,clearfell.kml polygon area matches '4.4 ha within the plantation'.,,"report, report6, report7",clearfell.kml polygon area = 4.41 ha · area_ha = 4.40791 [clearfell.kml]
report6:21afe9b1eb,confirm,66-well reference network column count matches '66-well reference network'.,,"report, report6, report7",66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report6:dc6c6e53d2,confirm,k=5 matches 'the optimal cluster number (k = 5)'.,,"report, report6, report7",distinct clusters in cluster_k5 (k = 5) · cluster_k5 = 5 [02_07_cluster_membership_k5.csv]
report6:4c3f943a6b,confirm,66-well reference count matches 'extended from the 66-well reference network'.,,"report, report6, report7",66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report6:427b0d23a9,confirm,88-well count matches 'to the full 88-well monitoring array'.,,"report, report6, report7",66 reference + 22 extended well columns = 88 dipwells = 88 [01_wells_reference.csv]
report6:b5a040fb5d,confirm,k=5 matches 'at the cluster scale (n = 5)'.,,"report, report6, report7",distinct clusters in cluster_k5 (k = 5) · cluster_k5 = 5 [02_07_cluster_membership_k5.csv]
report6:9c17b665f8,confirm,66-well reference count matches 'at every individual well (n = 66)'.,,"report, report6, report7",66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report6:89d39dc78b,confirm,CEH36_synthetic_control_n_donors matches '11 donor wells'.,,"report, report6, report7",CEH36_synthetic_control_n_donors = 11 [09e_report_numbers.csv]
report7:0c3cba47c0,confirm,study_area_ha (845.6) matches 'covers approximately 846 ha'.,,"report, report6, report7",study_area_ha = 845.605 [12_report_numbers.csv]
report7:2a0162dd8b,confirm,study_area_envelope_e_km matches '4.3 km'.,,"report, report6, report7",study_area_envelope_e_km = 4.29359 [12_report_numbers.csv]
report7:68aab72304,confirm,study_area_envelope_n_km matches '3.5 km'.,,"report, report6, report7",study_area_envelope_n_km = 3.53304 [12_report_numbers.csv]
report7:1e94ac13bb,confirm,site_overview_points_plotted matches '89 measuring points'.,,"report, report6, report7",site_overview_points_plotted = 89 [12_report_numbers.csv]
report7:82f676b312,confirm,88 dipwell count matches '88 dipwells plus the ... lake gauge'.,,"report, report6, report7",66 reference + 22 extended well columns = 88 dipwells = 88 [01_wells_reference.csv]
report7:6aed243650,confirm,network_envelope_e_km matches 'spans ~3.0 km'.,,"report, report6, report7",network_envelope_e_km = 3.0468 [12_report_numbers.csv]
report7:0ce05acf42,confirm,network_envelope_n_km matches '... x 2.1 km'.,,"report, report6, report7",network_envelope_n_km = 2.13259 [12_report_numbers.csv]
report7:c2629512c4,confirm,site_overview_points_plotted matches '89 measuring points' (second instance).,,"report, report6, report7",site_overview_points_plotted = 89 [12_report_numbers.csv]
report7:6d5a531488,confirm,88 dipwell count matches '88 are dipwells forming the analytical network'.,,"report, report6, report7",66 reference + 22 extended well columns = 88 dipwells = 88 [01_wells_reference.csv]
report7:f2bb37baf8,confirm,66-well reference count matches '66 reference-network wells'.,,"report, report6, report7",66 well columns in reference (lake excluded) = 66 [01_wells_reference.csv]
report7:0c7c8fd769,confirm,22-well extended count matches '22 extended-network wells'.,,"report, report6, report7",22 well columns in extended (lake excluded) = 22 [01_wells_extended.csv]
report7:8d5128e65b,confirm,clearfell.kml area matches 'approximately 4.4 ha'.,,"report, report6, report7",clearfell.kml polygon area = 4.41 ha · area_ha = 4.40791 [clearfell.kml]
report7:32076fcc05,deny,"0.6% of plantation felled attributed to SD15b (0.61m water-table threshold); unrelated quantity, digit coincidence only.",,"report, report6, report7",
report7:00aafa1ded,confirm,SD15b threshold matches 'sd15b viability requires ... shallower than 0.61 m'.,,"report, report6, report7",C2 / SD15b · Threshold_m = -0.61 [14b_year_of_crossing.csv]
report7:3c29bbb3b7,confirm,SD15b_WINTER matches 'winter maximum to reach within 0.10 m'.,,"report, report6, report7",SD15b_WINTER = 0.1 [config.py]
report7:c2b7d439af,confirm,SD16 threshold matches 'sd16 communities tolerate summer minima to 0.98 m'.,,"report, report6, report7",C2 / SD16 · Threshold_m = -0.98 [14b_year_of_crossing.csv]
report7:fdf746fdc3,confirm,SD16_WINTER matches 'winter maxima within 0.25 m'.,,"report, report6, report7",SD16_WINTER = 0.25 [config.py]
report7:5f9de18164,confirm,SD16 threshold matches 'mean summer minimum exceeds 0.98 m'.,,"report, report6, report7",C1 / SD16 · Threshold_m = -0.98 [14b_year_of_crossing.csv]
report7:264a40e9dc,confirm,SD15b threshold matches 'wells between 0.61 m and 0.75 m'.,,"report, report6, report7",C2 / SD15b · Threshold_m = -0.61 [14b_year_of_crossing.csv]
report7:10e200ab2c,confirm,SD15b_REC matches the '0.75 m' recovery boundary.,,"report, report6, report7",SD15b_REC = 0.75 [config.py]
report7:3b4c7bb486,confirm,Martin 2026-09-21: the 0.14 m BACI-measured benefit at CEH36 is Net_benefit in 09_scrape_report_numbers.csv (the matcher's own choice; the reader's denial overruled),Net_benefit [09_scrape_report_numbers.csv],martin,Net_benefit = 0.143532 [09_scrape_report_numbers.csv]
report7:e86f93f39a,confirm,SD16 threshold matches 'wells between 0.98 m and 1.20 m'.,,"report, report6, report7",C2 / SD16 · Threshold_m = -0.98 [14b_year_of_crossing.csv]
report7:0be1098da5,confirm,SD16_REC matches '1.20 m being a practical limit'.,,"report, report6, report7",SD16_REC · config.py · committed 1.2 · index proposed
report7:5fda928044,confirm,SD16_REC matches the '1.20 m' recovery boundary (same row as neighbour).,,"report, report6, report7",SD16_REC = 1.2 [config.py]
report7:951ece99a0,confirm,SD16_REC matches 'wells deeper than 1.20 m'.,,"report, report6, report7",SD16_REC = 1.2 [config.py]
report13:46107aba71,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,full / linear_capped · L_se = 57 [25_01_panel_fit_parameters.csv]
report13:b85dd1847e,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,COAST_RETREAT_M = 6 [config.py]
report13:ed0c3c3c47,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,COAST_CHRONIC_YEARS = 5 [config.py]
report13:d16eaed55a,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,COAST_CHRONIC_YEARS = 5 [config.py]
report13:e6d3d41b9d,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,RANWELL_LOO_MIN_WELLS = 3 [config.py]
report13:60635d12f0,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,SLACK_MIN_FLOOR_M = 2 [config.py]
report13:894841df3e,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,SLACK_MIN_FLOOR_M = 2 [config.py]
report13:8092b5f7b6,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,full / linear_capped · L_se = 57 [25_01_panel_fit_parameters.csv]
report13:bc64c418f8,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,COAST_RETREAT_M = 6 [config.py]
report13:4908842159,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,DIFF_PER_WELL_MIN_YEARS = 8 [config.py]
report13:178972cdfe,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,CANOPY_CHANGE_GRID_M = 2 [config.py]
report13:097ea4a7e9,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,C5 (Coastal Forest) (corrected) · C5 · Sy_event_n_pass_R = 105 [17_wtf_01_sy_estimates.csv]
report13:4d3910a5d2,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,RANWELL_POS_SIGMA_M = 40 [config.py]
report13:cbb16cb300,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,C2 · n_years = 21 [14_spring_trend_stats.csv]
report13:aaaa337ac1,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,MSL_HYDRO_YEAR_START_MONTH = 6 [config.py]
report13:27eadf4fa5,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,p2 · DEM_Ground_Elev = 9 [01_locations.csv]
report13:3a7f7a20da,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,forest_free_mam / exponential · L_se = 109 [25_01_panel_fit_parameters.csv]
report13:556ec77123,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,ENVELOPE_MIN_YEARS_PER_EXTREME = 2 [config.py]
report13:fc7aef3101,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,p2 · DEM_Ground_Elev = 9 [01_locations.csv]
report13:e05fe7dadb,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,benchmark_wells_SSM_worse = 2 [08_report_numbers.csv]
report13:0b2db06187,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,CANOPY_MATCH_MAX_ITER = 5 [config.py]
report13:cdd0aa62f7,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,SCRAPE_RISE_BUFFER_M = 10 [config.py]
report13:298de7ce2d,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,full / linear_capped · L_se = 57 [25_01_panel_fit_parameters.csv]
report13:bd1b053f45,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,MSL_HYDRO_YEAR_START_MONTH = 6 [config.py]
report13:6585a060c2,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,RANWELL_IDW_POWER = 2 [config.py]
report13:b89198eb0d,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,SCRAPE_RISE_BUFFER_M = 10 [config.py]
report13:40fee379dd,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,full / linear_capped · L_se = 57 [25_01_panel_fit_parameters.csv]
report13:33b0e5992c,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,C2 · Dry_Slack_Exceedances = 17 [14_winter_exceedance.csv]
report13:0a8e8027c9,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,Lake_Edge · n_hydrological_years = 19 [11_forecast_spring_transfer_functions.csv]
report13:93b53cbcde,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,MSL_HYDRO_YEAR_START_MONTH = 6 [config.py]
report13:ce1c0ed96b,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,p2 · DEM_Ground_Elev = 9 [01_locations.csv]
report13:4d0d828c8f,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,ENVELOPE_METRIC_REF_MIN_WET = 2 [config.py]
report13:672bd7bd30,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,full / linear_capped · L_se = 57 [25_01_panel_fit_parameters.csv]
report13:c89fc30a2a,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,benchmark_wells_SSM_worse = 2 [08_report_numbers.csv]
report13:2d923806c5,deny,"bibliographic reference number (volume/issue/page/year), not a pipeline quantity",,report10-16,CANOPY_CONSTELLATION_TOL_PX = 3 [config.py]
