site_no,month,depth_min_cm,depth_max_cm,level_max_m_od,level_min_m_od,line_pair_disagreement_px,source
4,4,-1.1,34.4,11.631,11.276,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,5,9.0,37.6,11.53,11.244,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,6,35.9,58.5,11.261,11.035,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,7,72.0,88.0,10.9,10.74,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,8,65.8,93.8,10.962,10.682,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,9,42.7,51.1,11.193,11.109,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,10,40.6,64.8,11.214,10.972,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,11,2.1,63.0,11.599,10.99,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
4,12,-0.6,37.0,11.626,11.25,6,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,1,0.7,17.8,11.073,10.902,5,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,2,4.9,19.7,11.031,10.883,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,3,15.7,38.2,10.923,10.698,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,4,14.8,37.8,10.932,10.702,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,5,27.3,41.0,10.807,10.67,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,6,41.2,62.0,10.668,10.46,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,7,79.4,87.3,10.286,10.207,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,8,75.1,103.0,10.329,10.05,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,9,50.7,60.7,10.573,10.473,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,10,49.8,73.0,10.582,10.35,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,11,10.9,70.8,10.971,10.372,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
11,12,-0.2,42.5,11.082,10.655,6,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,1,-19.8,-13.9,11.028,10.969,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,2,-19.8,-13.9,11.028,10.969,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,3,-19.7,10.3,11.027,10.727,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,4,-19.8,10.1,11.028,10.729,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,5,-10.1,11.8,10.931,10.712,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,6,9.9,36.7,10.731,10.463,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,7,38.9,64.8,10.441,10.182,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,8,34.1,64.4,10.489,10.186,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,9,31.3,38.4,10.517,10.446,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,10,14.2,44.5,10.688,10.385,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,11,-19.8,42.5,11.028,10.405,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
12,12,-20.0,9.7,11.03,10.733,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,1,31.9,43.4,11.091,10.976,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,2,33.4,46.2,11.076,10.948,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,3,31.7,65.1,11.093,10.759,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,4,31.5,68.1,11.095,10.729,2,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,5,41.3,70.0,10.997,10.71,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,6,68.1,90.5,10.729,10.505,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,7,104.7,121.0,10.363,10.2,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,8,107.5,135.5,10.335,10.055,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,9,75.6,83.9,10.654,10.571,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,10,75.6,97.8,10.654,10.432,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,11,35.3,95.3,11.057,10.457,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
13,12,33.4,67.2,11.076,10.738,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,1,33.7,71.9,9.943,9.561,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,2,43.6,72.9,9.844,9.551,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,3,36.0,93.5,9.92,9.345,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,4,45.1,89.7,9.829,9.383,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,5,76.4,102.3,9.516,9.257,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,6,100.6,119.5,9.274,9.085,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,7,122.1,128.3,9.059,8.997,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,8,138.4,163.5,8.896,8.645,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,9,102.3,116.9,9.257,9.111,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,10,84.5,122.1,9.435,9.059,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,11,53.8,118.2,9.742,9.098,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
16,12,33.5,87.3,9.945,9.407,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,1,-2.3,18.2,7.093,6.888,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,2,-2.1,20.5,7.091,6.865,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,3,-2.3,34.0,7.093,6.73,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,4,-2.1,39.6,7.091,6.674,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,5,1.5,42.8,7.055,6.642,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,6,24.2,50.9,6.828,6.561,0,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,7,41.3,66.3,6.657,6.407,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,8,31.2,67.8,6.758,6.392,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,9,11.5,45.4,6.955,6.616,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,10,8.5,44.3,6.985,6.627,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,11,-2.6,24.2,7.096,6.828,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
18,12,-2.6,26.7,7.096,6.803,1,"Ranwell 1959 Fig. 7 (monthly range of readings, 1951-53 pooled)"
